frame,region,score_mass_share,selected_token_share,starvation_deficit,selected_tokens,region_tokens
0,center,0.4716410518542751,0.16,0.31164105185427504,64,64
0,boundary,0.09054897429741855,0.64,-0.5494510257025814,256,256
0,ocr_edge_proxy_top15,0.07496295992160386,0.15,-0.07503704007839614,60,60
1,center,0.6131156553533792,0.7105263157894737,-0.09741066043609448,27,64
1,boundary,0.1322484103818144,0.05263157894736842,0.07961683143444598,2,256
1,ocr_edge_proxy_top15,0.3394755739198192,0.34210526315789475,-0.00262968923807555,13,60
2,center,0.7929915565051472,0.88,-0.08700844349485282,22,64
2,boundary,0.010045108296023413,0.0,0.010045108296023413,0,256
2,ocr_edge_proxy_top15,0.22779619357197536,0.2,0.027796193571975353,5,60
3,center,0.8690384515332148,0.9444444444444444,-0.07540599291122962,17,64
3,boundary,0.02340289971477138,0.0,0.02340289971477138,0,256
3,ocr_edge_proxy_top15,0.32071814056513315,0.2222222222222222,0.09849591834291094,4,60
4,center,0.7144532714541936,0.7391304347826086,-0.024677163328415075,17,64
4,boundary,0.04358643045689908,0.043478260869565216,0.00010816958733386728,1,256
4,ocr_edge_proxy_top15,0.2781980362688415,0.2608695652173913,0.01732847105145019,6,60
5,center,0.4389308017059455,0.44,-0.0010691982940544964,11,64
5,boundary,0.16408227184226015,0.16,0.004082271842260149,4,256
5,ocr_edge_proxy_top15,0.20894004073222755,0.28,-0.07105995926777248,7,60
6,center,0.7226304236992642,0.7419354838709677,-0.019305060171703525,23,64
6,boundary,0.016571561556201868,0.0,0.016571561556201868,0,256
6,ocr_edge_proxy_top15,0.3100387207534989,0.3548387096774194,-0.04479998892392045,11,60
7,center,0.8940314365571125,0.9375,-0.04346856344288752,15,64
7,boundary,0.00023724240793255064,0.0,0.00023724240793255064,0,256
7,ocr_edge_proxy_top15,0.27946323923796657,0.3125,-0.033036760762033435,5,60
8,center,0.5835451423545552,0.6666666666666666,-0.0831215243121114,26,64
8,boundary,0.07437078726830477,0.0,0.07437078726830477,0,256
8,ocr_edge_proxy_top15,0.19236614728401408,0.1794871794871795,0.01287896779683459,7,60
9,center,0.7350995537157491,0.8076923076923077,-0.07259275397655862,21,64
9,boundary,0.050476826666717614,0.0,0.050476826666717614,0,256
9,ocr_edge_proxy_top15,0.3641165879641668,0.38461538461538464,-0.020498796651217843,10,60
10,center,0.5013298569272912,0.46153846153846156,0.03979139538882959,12,64
10,boundary,0.118669262074361,0.11538461538461539,0.00328464668974561,3,256
10,ocr_edge_proxy_top15,0.29024985611150805,0.3076923076923077,-0.017442451580799656,8,60
11,center,0.7479691074223933,0.8,-0.052030892577606735,24,64
11,boundary,0.016944319197792934,0.0,0.016944319197792934,0,256
11,ocr_edge_proxy_top15,0.30050175550982977,0.3,0.0005017555098297821,9,60
12,center,0.7392861022994323,0.8846153846153846,-0.14532928231595232,23,64
12,boundary,0.10500407659097159,0.038461538461538464,0.06654253812943313,1,256
12,ocr_edge_proxy_top15,0.32642991444542213,0.34615384615384615,-0.019723931708424014,9,60
13,center,0.8526063838047115,0.92,-0.0673936161952885,23,64
13,boundary,0.019539945286595625,0.0,0.019539945286595625,0,256
13,ocr_edge_proxy_top15,0.35892557202849185,0.32,0.03892557202849184,8,60
14,center,0.771730401615125,0.7407407407407407,0.03098966087438426,20,64
14,boundary,0.003670053563842587,0.0,0.003670053563842587,0,256
14,ocr_edge_proxy_top15,0.28609430468787433,0.2962962962962963,-0.010201991608421945,8,60
15,center,0.5088625861957599,0.48,0.028862586195759876,12,64
15,boundary,0.13632399995588793,0.08,0.056323999955887924,2,256
15,ocr_edge_proxy_top15,0.36722455954892264,0.36,0.007224559548922649,9,60
